Name,Category,Lat,Lng,Review,ReviewDate,ReviewSummary
The Daily Needs Grocery Store,Grocery store,28.4530566,77.0099219,The place is based in heart of Gurgaon and close to Sadar market. Owner knows the customer service and treat every customer individually with smiles. Excellent shopping experience.,6 years ago,"Error: 

You tried to access openai.ChatCompletion, but this is no longer supported in openai>=1.0.0 - see the README at https://github.com/openai/openai-python for the API.

You can run `openai migrate` to automatically upgrade your codebase to use the 1.0.0 interface. 

Alternatively, you can pin your installation to the old version, e.g. `pip install openai==0.28`

A detailed migration guide is available here: https://github.com/openai/openai-python/discussions/742
"
The Daily Needs Grocery Store,Grocery store,28.4530566,77.0099219,"It was nice. You can Buy most of the things.
Placing of goods is GREAT.

Customer service is also At average.
Main thing is to get your daily use items, so IT'S helpful😉😄✌",3 years ago,"Error: 

You tried to access openai.ChatCompletion, but this is no longer supported in openai>=1.0.0 - see the README at https://github.com/openai/openai-python for the API.

You can run `openai migrate` to automatically upgrade your codebase to use the 1.0.0 interface. 

Alternatively, you can pin your installation to the old version, e.g. `pip install openai==0.28`

A detailed migration guide is available here: https://github.com/openai/openai-python/discussions/742
"
The Daily Needs Grocery Store,Grocery store,28.4530566,77.0099219,Very nice picture,3 weeks ago,"Error: 

You tried to access openai.ChatCompletion, but this is no longer supported in openai>=1.0.0 - see the README at https://github.com/openai/openai-python for the API.

You can run `openai migrate` to automatically upgrade your codebase to use the 1.0.0 interface. 

Alternatively, you can pin your installation to the old version, e.g. `pip install openai==0.28`

A detailed migration guide is available here: https://github.com/openai/openai-python/discussions/742
"
The Daily Needs Grocery Store,Grocery store,28.4530566,77.0099219,Very nice shop,2 months ago,"Error: 

You tried to access openai.ChatCompletion, but this is no longer supported in openai>=1.0.0 - see the README at https://github.com/openai/openai-python for the API.

You can run `openai migrate` to automatically upgrade your codebase to use the 1.0.0 interface. 

Alternatively, you can pin your installation to the old version, e.g. `pip install openai==0.28`

A detailed migration guide is available here: https://github.com/openai/openai-python/discussions/742
"
The Daily Needs Grocery Store,Grocery store,28.4530566,77.0099219,"I like this store for its quality products and Single Best health food store with reasonable price, locally owned and everything you could ever want is available here..it is really such as a daily needs store...",6 years ago,"Error: 

You tried to access openai.ChatCompletion, but this is no longer supported in openai>=1.0.0 - see the README at https://github.com/openai/openai-python for the API.

You can run `openai migrate` to automatically upgrade your codebase to use the 1.0.0 interface. 

Alternatively, you can pin your installation to the old version, e.g. `pip install openai==0.28`

A detailed migration guide is available here: https://github.com/openai/openai-python/discussions/742
"
The Daily Needs Grocery Store,Grocery store,28.4530566,77.0099219,"Best Grocery Store in Gurugram, you will not get everything here but mostly you will get grocery items. Parking is limited as it is on the road. Nice experience thanks",4 years ago,"Error: 

You tried to access openai.ChatCompletion, but this is no longer supported in openai>=1.0.0 - see the README at https://github.com/openai/openai-python for the API.

You can run `openai migrate` to automatically upgrade your codebase to use the 1.0.0 interface. 

Alternatively, you can pin your installation to the old version, e.g. `pip install openai==0.28`

A detailed migration guide is available here: https://github.com/openai/openai-python/discussions/742
"
The Daily Needs Grocery Store,Grocery store,28.4530566,77.0099219,Good quality products in store. Reasonable price,4 years ago,"Error: 

You tried to access openai.ChatCompletion, but this is no longer supported in openai>=1.0.0 - see the README at https://github.com/openai/openai-python for the API.

You can run `openai migrate` to automatically upgrade your codebase to use the 1.0.0 interface. 

Alternatively, you can pin your installation to the old version, e.g. `pip install openai==0.28`

A detailed migration guide is available here: https://github.com/openai/openai-python/discussions/742
"
The Daily Needs Grocery Store,Grocery store,28.4530566,77.0099219,Everything of daily needs at one place,9 months ago,"Error: 

You tried to access openai.ChatCompletion, but this is no longer supported in openai>=1.0.0 - see the README at https://github.com/openai/openai-python for the API.

You can run `openai migrate` to automatically upgrade your codebase to use the 1.0.0 interface. 

Alternatively, you can pin your installation to the old version, e.g. `pip install openai==0.28`

A detailed migration guide is available here: https://github.com/openai/openai-python/discussions/742
"
"Dainik Bazaar, Grocery Store",Indian grocery store,28.446513999999997,77.0473561,Best place for grocery shopping in the area. Greate deals. Wide range of products. Friendy staff. It also has an open bakery where you can buy freshly baked products. Cakes available on demand freashly made in front of you. The smell of freash bakery products makes your mouth watery.,Edited 7 years ago,"Error: 

You tried to access openai.ChatCompletion, but this is no longer supported in openai>=1.0.0 - see the README at https://github.com/openai/openai-python for the API.

You can run `openai migrate` to automatically upgrade your codebase to use the 1.0.0 interface. 

Alternatively, you can pin your installation to the old version, e.g. `pip install openai==0.28`

A detailed migration guide is available here: https://github.com/openai/openai-python/discussions/742
"
"Dainik Bazaar, Grocery Store",Indian grocery store,28.446513999999997,77.0473561,"Awesome store, fresh bakery and all, everything work good as expected with offers specially, mostly everything under single roof and more varieties than expected",4 years ago,"Error: 

You tried to access openai.ChatCompletion, but this is no longer supported in openai>=1.0.0 - see the README at https://github.com/openai/openai-python for the API.

You can run `openai migrate` to automatically upgrade your codebase to use the 1.0.0 interface. 

Alternatively, you can pin your installation to the old version, e.g. `pip install openai==0.28`

A detailed migration guide is available here: https://github.com/openai/openai-python/discussions/742
"
